亜,あ,次位、次ぐ。亜相、亜将は大納言・近衛中少将を指す
去,さる,権利を移転すること
避,さる,権利を移転すること
去社,さればこそ,思いし如く
散位,さんに,位のみがあって官職に就かない者
散用,さんよう,算用・みつもり
四一半,しいちはん,博打の一種
仕置,しおき,統治・処置・刑罰
潮垂る,しおたる,泣くの忌詞
知客,しか,禅寺で客と応接する役僧
死骸敵対,しがいてきたい,遺言に背く罪
爾々,しかじか,しっかりと・確かに
併,しかしながら,さながら・すっかり
加之,しかのみならず
然而,しかれども
時宜,じぎ,都合・様子・礼物
直銭,じきせん,代価・あたい
色代,しきたい,挨拶・追従
直務,じきむ,直接の支
施行,しぎょう,上意を受けて執行すること
地口,じぐち,屋敷地の間口一間毎にかかる税
治定,じじょう,決定・きまって
下地,したじ,上分に対する言葉・実際の土地
入魂,じっこん,親密・こころやすくする・世話する
失墜,しっつい,失費・失うこと
無四度解・無四度計,しどけなし,しまりのない
取次筋斗,しどろもどろ,甚しく秩序の乱れたさま・ととのわぬさま
支配,しはい,分配すめこと・統治
入眼,じゅげん,叙位除目に際し姓名を書き込むこと・物事が成就する事
首座,しゅそ,禅宗で修行僧の上首にたつ役僧
順孫,じゅんそん,嫡孫
常荒,じょうこう,荒地として年貢をかけないことになっている土地
成功,じょうごう,売官の制度・私物を納めて官を申請すること
承仕,しょうじ,雑役に従う僧形の者
笑止千万,しょうしせんぱん,気の毒
商人,しょうにん,詐り
証人,しょうにん,人質
上林下若,じょうりんかじゃく,酒肴の事
如在,じょさい,ておち・悪意・疎略
所帯,しょたい,官職・所領・財産
所当,しょとう,あてられた上納物
所務,しょむ,つとめ・やくめ・田租以外の雑税、転じて土地の支配
叙用,じょよう,とり用いる・承知する
云為,しわざ,仕わざ
神載,しんさい,神に誓う言葉をのせた文書・起請文
進止,しんし,進退すること・処分すること
参差,しんし,物の長さの揃わぬこと
吹嘘,すいきょ,推薦・吹挙
随逐,ずいちく,つき従う
水鳥,すいちょう,酒のこと
杉原,すいばら,杉原紙のこと
透と,すきと,すっきりと・さっぱりと・残らずに
冷,すさまじ,凄まじい
筋目,すじめ,由緒・条理
無術,すべなし,仕方がない
墨付,すみつき,墨字の書いてある紙・署判のある文書
青女,せいじょ,妻の異称・身分の低い女房・侍女・若い女房
成敗,せいばい,政務の処理・裁決・処刑・殺すこと
青扶,せいふ,銭
済物,せいもつ,納め済ますべき物・租税
関手,せきて,関料・関銭・通行税
世智弁,せちべん,けち
切所,せっしょ,要害の所・難所
節所,せっしょ,要害の所・難所
遂節,せつをとぐ,責任を果す
無為方,せんかたなし
先途,せんど,困難・行き詰まり・せとぎわ
先判,せんぱん,以前の署判がある証文
造意,ぞうい,計画・くわだて
雑意,ぞうい,悪計
悪意,ぞうい,悪計
相続向,そうぞくむき,経済・生計
相博,そうはく,交換
相論,そうろん,あらそい・争論
坐元,ぞげん,しゅそに同じ
坐,そぞろ,わけもなく・漫然
訴陳状,そちんじょう,訴状と陳状と
番訴陳,そちんをつがう,訴えと弁明とを互いに行うこと
染紙,そめがみ,経の忌詞
存候,そうこう,安否を尋ねる
大綱,たいこう,大事
怠状,たいじょう,わび状・あやまる・屈服する
題目,だいもく,主旨・用件・名目
駄餉,だしょう,弁当・旅行の食料
直也事,ただごと,常のこと
立柄,たちがら,状況・様子
仮令,たとい,縦令・よしんば
田文,たぶみ,一国内の田畑の数量とその領主・地頭の名などを記した帳簿
魂打,たちまち,驚いてきもをつぶすこと
御,たもう,給に同じ
短束,たんそく,処置・心配・配慮
短息,たんそく,処置・心配・配慮
知行,ちぎょう,所領から収益を得ている事
逐電,ちくでん,急に退出すること・逃亡
竹葉上林,ちくようじょうりん,酒肴
致仕,ちし,官を辞すこと・引退
千入,ちしお,幾度も染めること
置酒,ちしゅ,酒宴をひらく
馳走,ちそう,せわをすること・奔走・饗応
治罰,ちばつ,征伐
調儀,ちょうぎ,企み・戦争・勝負
停止,ちょうじ,さしとめること
地利,ちり,土地からのあがり高
刷,つくろう,計らう・整える
辻者,つじは,要は・結局は
募る,つのる,招きあつめる・はげしくなる・ねがう
具,つぶさに,詳細に
一二,つまびらか,詳細
頬,つら,側のこと・面に対する語
強面,つれなし,薄情な
為体,ていたらく,様子
手返,てかえし,返り忠・謀叛
行,てだて,手段・計らい・策略
手継文書,てつぎのもんじょ,所領の証文をつぎつぎに継ぎ足した文書
者,てへり,と云えり
天気,てんき,天皇の御気色・勅命
点定,てんじょう,指定・検定
典座,てんぞ,禅寺で食事などを司る役僧
点役,てんやく,指定された役
当意,とうい,当座
同心,どうしん,同意・協力
東司,とうす,禅寺で便所
当知行,とうちぎょう,現在知行していること
頭役,とうやく,係り・当番の役
左右,とかく,とかく・かれこれに
徳日,とくじつ,衰日の忌詞・忌み慎むべき日のこと
得替,とくたい,没収
得分,とくぶん,収入
土貢,どこう,土地からの上り・年貢
閉目,とじめ,経略・終わり
届,とどけ,誠意を尽くすこと・忠節
唱,となえ,風評・状況
取箇,とりか,収穫
執申,とりもうす,上に周旋する
頓作,とんさく,俄に・速成
乃刻,ないとき,即刻
直る,なおる,死の忌詞
中子,なかこ,仏の忌詞
胡為,なんすれぞ,なんとしてか
何与,なんと
入弁,にゅうべん,受納して支弁すること
仁躰,にんてい,本人・当主・人品
ぬるけ,,熱病・女房詞
忽滑,ぬめる,滑る・しそんずる
座る,ねまる,蹲踞
苦,ねんごろ
懇,ねんごろ
痛切,ねんごろ
念人,ねんじん,競技の応援・肝煎をする人・念者とも
乃貢,のうぐ,年貢
野散,のさん,公有地以外の無税の山野
莅,のぞむ,臨むこと
暖気,のんき,苦労のないこと
無墓,はかなし,とりとめのない・つまらぬ・粗略
擬,はからい,計らい
斗,ばかり,計
婆佐羅,ばさら,はで・しどけない・みえ
走廻,はしりまい,奔走・尽力・馳走
筈,はず,一致・都合・予定
破損,はそん,修繕
為当,はた,それとも・或は・もしくは
将,はた,それとも・或は・もしくは
礑,はたと,はったと・事のさし当ったさま
八木,はちぼく→やぎ
鼻突,はなつき,であいがしら・勘当
晴,はれ,表向き・公式
般若湯,はんにゃとう,酒の寺詞
判物,はんもつ,所領授与の文書で、花押を加えたものをいう
引替,ひきかえ,費用
引違,ひきかえ,費用
非拠,ひきょ,謂われないこと
比興,ひきょう,おかしい・面白い・つまらぬ・お恥しい・おもいつき
秘計,ひけい,うまく計うこと・周旋
日来,ひごろ,日頃
日者,ひごろ,日頃
日比,ひごろ,日頃
備進,びしん,年貢などを完備して進上すること
日縦,ひたたし,東西の道
東西,ひたたし,東西の道
一行,ひとくだり,一行書・所領などの命令書
日次記,ひなみのき,日記
捻,ひねり,ひねり文のこと
拈,ひねり,ひねり文のこと
非分,ひぶん,分にあらざる・過分の・道理にあわぬ
表裏,ひょうり,不正直・裏切り
尾籠,びろう,失礼・不作法
便風,びんぷう,たより・音信
無為,ぶい,何もしないこと、平穏無事
浮蟻,ふぎ,酒のこと
不孝,ふきょう,勘当のこと
不興,ふきょう,勘当のこと
更米,ふけまい,湿気・虫などで傷んだ米
扶持,ふち,助ける・合力する
物忽,ぶっそう,いそがしい・物騒がしい
与風,ふと,ちょっと・直に・偶然に
不図,ふと,偶然に
夫丸,ふまる,人夫
夫役,ぶやく,公用に使役する人夫から、それ相当の銭を課すこと
不例,ふれい,病気
態,ふりはえて,わざわざ
翔,ふるまい,行為、人目につくような行動
粉骨,ふんこつ,骨折り・努力
平均,へいきん,一率均等で例外がないこと
陪従,べいじゅう,供奉・神楽などに従事する楽人
壁書,へきしょ,役所で役人が執務上守るべき心得や布告などを壁に張紙して掲示したもの
蔑爾,べつじ,軽んじないがしろにする
篇,へん,箇条、事柄、件、事項、条　＝篇目
片時,へんし,しばらくの間
返抄,へんしょう,請取状・命令を逐行した報告書
篇籍,へんせき,書物、典籍
片土,へんど,片田舎
偏頗,へんば,かたよって公平を欠くこと
反閇,へんぱい,貴人の出行・神拝に際し、邪気を払うため陰陽師が足で地をふみしめる呪
本意,ほい,本懐
奉加,ほうが,寄進
奉書,ほうしょ,上意を受けて出す文書・手紙
謀書,ぼうしょ,偽文書
印時,ほうち,人足
謀判,ぼうはん,偽判
奉免,ほうめん,社寺に寄進すること、社寺の万雑公事を免除すること
謀綸旨,ぼうりんじ,
傍例,ぼうれい,先例
欲,ほっす,①…したいと望む、…しようと思う　②…しそうになる
殆,ほとほと,危うく･･･するところ、すんでのところに、だいたい
外持,ほまち,私財・へそくり
本給,ほんきゅう,もとから領有している給田
凡下,ぼんげ,凡夫・庶民
本銭返,ほんせんがえし,買戻特約附き売買・物で売買するときは 　　　ほんものがえしという
本知行,ほんちぎょう,もとから知行していた所領
凡卑,ぼんぴ,①身分の低いこと、出自が卑しいこと　②凡庸にして下劣な者
本文,ほんもん,古書に見える典拠となるべき文句、文献　＝本説
本領,ほんりょう,私領として代々相伝の領地
本領掌,ほんりょうしょう,本領地
枉,まげて,しいて
間別銭,まべちせん,一間ごとにかかる税
万雑公事,まんぞうくじ,年貢以外の色々の上納・課役
政所,まんどころ,①政治を執り行う場所 　②家政機関の事務所 　③鎌倉幕府の政庁
御影,みえい,絵像の敬称
御方討,みかたうち,戦場で誤って味方の兵士を傷つけて、死に至らしめること
御教書,みぎょうしょ,三位位上の家が出す奉書形式の文書
砌,みぎり,①軒下や階下の石畳のところ、殿舎と庭との境界　②場所、ところ
